participantId,taskId,measure_type,metric,construct,A_value,B_value,improvement,improvement_direction
PMDGQF6V3,1,behavioral,clickCount,,75,7,68,A - B; positive values favor Variant B
PMY9EY80T,1,behavioral,clickCount,,13,5,8,A - B; positive values favor Variant B
PO0YWX23G,1,behavioral,clickCount,,9,7,2,A - B; positive values favor Variant B
POMEU60X3,1,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
PQ3KZGKWP,1,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
PR8OY8GUT,1,behavioral,clickCount,,10,5,5,A - B; positive values favor Variant B
PRL17E7I2,1,behavioral,clickCount,,16,5,11,A - B; positive values favor Variant B
PS8SF0PF2,1,behavioral,clickCount,,15,5,10,A - B; positive values favor Variant B
PSWWIV0XB,1,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
PTA7OSL0B,1,behavioral,clickCount,,11,5,6,A - B; positive values favor Variant B
PTJGE7EXG,1,behavioral,clickCount,,19,6,13,A - B; positive values favor Variant B
PVD54NPZC,1,behavioral,clickCount,,10,45,-35,A - B; positive values favor Variant B
PWV2MFTIM,1,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
PX47H0075,1,behavioral,clickCount,,10,5,5,A - B; positive values favor Variant B
PYLDRR3RU,1,behavioral,clickCount,,13,6,7,A - B; positive values favor Variant B
PYVFGA3G2,1,behavioral,clickCount,,11,5,6,A - B; positive values favor Variant B
P028CWG0W,1,behavioral,misclickCount,,2,0,2,A - B; positive values favor Variant B
P02MVX12U,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P1AJ983YU,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P1FCXJG5G,1,behavioral,misclickCount,,4,0,4,A - B; positive values favor Variant B
P30GF9DCE,1,behavioral,misclickCount,,3,0,3,A - B; positive values favor Variant B
P3GT3SJCJ,1,behavioral,misclickCount,,8,0,8,A - B; positive values favor Variant B
P6OM5XQ9D,1,behavioral,misclickCount,,6,0,6,A - B; positive values favor Variant B
P7SSRCDH3,1,behavioral,misclickCount,,6,0,6,A - B; positive values favor Variant B
P8J79DAMX,1,behavioral,misclickCount,,6,0,6,A - B; positive values favor Variant B
P8P27NREY,1,behavioral,misclickCount,,17,0,17,A - B; positive values favor Variant B
P8R7D3U4Y,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P99LEMZ3N,1,behavioral,misclickCount,,1,0,1,A - B; positive values favor Variant B
P9KSFLSKT,1,behavioral,misclickCount,,0,1,-1,A - B; positive values favor Variant B
PBWP8UE0A,1,behavioral,misclickCount,,0,1,-1,A - B; positive values favor Variant B
PCFQE8NID,1,behavioral,misclickCount,,1,0,1,A - B; positive values favor Variant B
PE7C6H021,1,behavioral,misclickCount,,1,0,1,A - B; positive values favor Variant B
PE9W58M1S,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PFWMMXIWA,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PGH86PBFM,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PH81DPP1K,1,behavioral,misclickCount,,1,0,1,A - B; positive values favor Variant B
PK0Y2I1M9,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PK30UIESJ,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PLEWQ562J,1,behavioral,misclickCount,,6,0,6,A - B; positive values favor Variant B
PLZ9FQ9H6,1,behavioral,misclickCount,,2,0,2,A - B; positive values favor Variant B
PMDGQF6V3,1,behavioral,misclickCount,,36,0,36,A - B; positive values favor Variant B
PMY9EY80T,1,behavioral,misclickCount,,4,0,4,A - B; positive values favor Variant B
PO0YWX23G,1,behavioral,misclickCount,,1,1,0,A - B; positive values favor Variant B
POMEU60X3,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PQ3KZGKWP,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PR8OY8GUT,1,behavioral,misclickCount,,3,0,3,A - B; positive values favor Variant B
PRL17E7I2,1,behavioral,misclickCount,,7,0,7,A - B; positive values favor Variant B
PS8SF0PF2,1,behavioral,misclickCount,,5,0,5,A - B; positive values favor Variant B
PSWWIV0XB,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PTA7OSL0B,1,behavioral,misclickCount,,1,0,1,A - B; positive values favor Variant B
PTJGE7EXG,1,behavioral,misclickCount,,8,0,8,A - B; positive values favor Variant B
PVD54NPZC,1,behavioral,misclickCount,,2,39,-37,A - B; positive values favor Variant B
PWV2MFTIM,1,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PX47H0075,1,behavioral,misclickCount,,1,0,1,A - B; positive values favor Variant B
PYLDRR3RU,1,behavioral,misclickCount,,7,1,6,A - B; positive values favor Variant B
PYVFGA3G2,1,behavioral,misclickCount,,2,0,2,A - B; positive values favor Variant B
P028CWG0W,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
P02MVX12U,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
P1AJ983YU,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
P1FCXJG5G,1,behavioral,pageTransitionCount,,11,6,5,A - B; positive values favor Variant B
P30GF9DCE,1,behavioral,pageTransitionCount,,12,5,7,A - B; positive values favor Variant B
P3GT3SJCJ,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
P6OM5XQ9D,1,behavioral,pageTransitionCount,,9,5,4,A - B; positive values favor Variant B
P7SSRCDH3,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
P8J79DAMX,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
P8P27NREY,1,behavioral,pageTransitionCount,,10,6,4,A - B; positive values favor Variant B
P8R7D3U4Y,1,behavioral,pageTransitionCount,,9,6,3,A - B; positive values favor Variant B
P99LEMZ3N,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
P9KSFLSKT,1,behavioral,pageTransitionCount,,8,7,1,A - B; positive values favor Variant B
PBWP8UE0A,1,behavioral,pageTransitionCount,,9,8,1,A - B; positive values favor Variant B
PCFQE8NID,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
PE7C6H021,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
PE9W58M1S,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
PFWMMXIWA,1,behavioral,pageTransitionCount,,9,6,3,A - B; positive values favor Variant B
PGH86PBFM,1,behavioral,pageTransitionCount,,9,6,3,A - B; positive values favor Variant B
PH81DPP1K,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
PK0Y2I1M9,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
PK30UIESJ,1,behavioral,pageTransitionCount,,9,6,3,A - B; positive values favor Variant B
PLEWQ562J,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
PLZ9FQ9H6,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
PMDGQF6V3,1,behavioral,pageTransitionCount,,22,7,15,A - B; positive values favor Variant B
PMY9EY80T,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
PO0YWX23G,1,behavioral,pageTransitionCount,,9,6,3,A - B; positive values favor Variant B
POMEU60X3,1,behavioral,pageTransitionCount,,9,6,3,A - B; positive values favor Variant B
PQ3KZGKWP,1,behavioral,pageTransitionCount,,9,6,3,A - B; positive values favor Variant B
PR8OY8GUT,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
PRL17E7I2,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
PS8SF0PF2,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
PSWWIV0XB,1,behavioral,pageTransitionCount,,9,6,3,A - B; positive values favor Variant B
PTA7OSL0B,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
PTJGE7EXG,1,behavioral,pageTransitionCount,,11,5,6,A - B; positive values favor Variant B
PVD54NPZC,1,behavioral,pageTransitionCount,,8,7,1,A - B; positive values favor Variant B
PWV2MFTIM,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
PX47H0075,1,behavioral,pageTransitionCount,,10,5,5,A - B; positive values favor Variant B
PYLDRR3RU,1,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
PYVFGA3G2,1,behavioral,pageTransitionCount,,9,5,4,A - B; positive values favor Variant B
P028CWG0W,2,behavioral,completionTimeSec,,2.891,6.027,-3.136,A - B; positive values favor Variant B
P02MVX12U,2,behavioral,completionTimeSec,,13.365,8.039,5.326,A - B; positive values favor Variant B
P1AJ983YU,2,behavioral,completionTimeSec,,10.586,7.504,3.082,A - B; positive values favor Variant B
P1FCXJG5G,2,behavioral,completionTimeSec,,27.222,7.97,19.252,A - B; positive values favor Variant B
P30GF9DCE,2,behavioral,completionTimeSec,,5.145,3.518,1.627,A - B; positive values favor Variant B
P3GT3SJCJ,2,behavioral,completionTimeSec,,3.266,2.615,0.651,A - B; positive values favor Variant B
P6OM5XQ9D,2,behavioral,completionTimeSec,,13.933,6.49,7.443,A - B; positive values favor Variant B
P7SSRCDH3,2,behavioral,completionTimeSec,,8.547,11.178,-2.631,A - B; positive values favor Variant B
P8J79DAMX,2,behavioral,completionTimeSec,,4.359,2.064,2.295,A - B; positive values favor Variant B
P8P27NREY,2,behavioral,completionTimeSec,,2.543,2.664,-0.121,A - B; positive values favor Variant B
P8R7D3U4Y,2,behavioral,completionTimeSec,,3.218,2.75,0.468,A - B; positive values favor Variant B
P99LEMZ3N,2,behavioral,completionTimeSec,,7.923,5.761,2.162,A - B; positive values favor Variant B
P9KSFLSKT,2,behavioral,completionTimeSec,,4.862,5.411,-0.549,A - B; positive values favor Variant B
PBWP8UE0A,2,behavioral,completionTimeSec,,3.858,2.363,1.495,A - B; positive values favor Variant B
PCFQE8NID,2,behavioral,completionTimeSec,,19.256,4.496,14.76,A - B; positive values favor Variant B
PE7C6H021,2,behavioral,completionTimeSec,,7.383,8.982,-1.599,A - B; positive values favor Variant B
PE9W58M1S,2,behavioral,completionTimeSec,,7.684,6.281,1.403,A - B; positive values favor Variant B
PFWMMXIWA,2,behavioral,completionTimeSec,,4.966,3.149,1.817,A - B; positive values favor Variant B
PGH86PBFM,2,behavioral,completionTimeSec,,3.888,2.535,1.353,A - B; positive values favor Variant B
PH81DPP1K,2,behavioral,completionTimeSec,,2.872,3.086,-0.214,A - B; positive values favor Variant B
PK0Y2I1M9,2,behavioral,completionTimeSec,,3.834,6.349,-2.515,A - B; positive values favor Variant B
PK30UIESJ,2,behavioral,completionTimeSec,,4.652,6.248,-1.596,A - B; positive values favor Variant B
PLEWQ562J,2,behavioral,completionTimeSec,,3.234,2.916,0.318,A - B; positive values favor Variant B
PLZ9FQ9H6,2,behavioral,completionTimeSec,,3.088,2.648,0.44,A - B; positive values favor Variant B
PMDGQF6V3,2,behavioral,completionTimeSec,,3.831,6.04,-2.209,A - B; positive values favor Variant B
PMY9EY80T,2,behavioral,completionTimeSec,,15.372,6.775,8.597,A - B; positive values favor Variant B
PO0YWX23G,2,behavioral,completionTimeSec,,2.229,1.611,0.618,A - B; positive values favor Variant B
POMEU60X3,2,behavioral,completionTimeSec,,9.63,3.405,6.225,A - B; positive values favor Variant B
PQ3KZGKWP,2,behavioral,completionTimeSec,,5.995,2.943,3.052,A - B; positive values favor Variant B
PR8OY8GUT,2,behavioral,completionTimeSec,,3.269,15.216,-11.947,A - B; positive values favor Variant B
PRL17E7I2,2,behavioral,completionTimeSec,,2.569,19.297,-16.728,A - B; positive values favor Variant B
PS8SF0PF2,2,behavioral,completionTimeSec,,10.351,7.706,2.645,A - B; positive values favor Variant B
PSWWIV0XB,2,behavioral,completionTimeSec,,7.793,4.317,3.476,A - B; positive values favor Variant B
PTA7OSL0B,2,behavioral,completionTimeSec,,2.402,2.368,0.034,A - B; positive values favor Variant B
PTJGE7EXG,2,behavioral,completionTimeSec,,5.271,3.112,2.159,A - B; positive values favor Variant B
PVD54NPZC,2,behavioral,completionTimeSec,,14.593,9,5.593,A - B; positive values favor Variant B
PWV2MFTIM,2,behavioral,completionTimeSec,,8.868,1.738,7.13,A - B; positive values favor Variant B
PX47H0075,2,behavioral,completionTimeSec,,10.659,5.399,5.26,A - B; positive values favor Variant B
PYLDRR3RU,2,behavioral,completionTimeSec,,4.574,7.936,-3.362,A - B; positive values favor Variant B
PYVFGA3G2,2,behavioral,completionTimeSec,,5.619,7.303,-1.684,A - B; positive values favor Variant B
P028CWG0W,2,behavioral,clickCount,,3,5,-2,A - B; positive values favor Variant B
P02MVX12U,2,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
P1AJ983YU,2,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
P1FCXJG5G,2,behavioral,clickCount,,9,5,4,A - B; positive values favor Variant B
P30GF9DCE,2,behavioral,clickCount,,3,4,-1,A - B; positive values favor Variant B
P3GT3SJCJ,2,behavioral,clickCount,,3,3,0,A - B; positive values favor Variant B
P6OM5XQ9D,2,behavioral,clickCount,,11,5,6,A - B; positive values favor Variant B
P7SSRCDH3,2,behavioral,clickCount,,4,5,-1,A - B; positive values favor Variant B
P8J79DAMX,2,behavioral,clickCount,,3,3,0,A - B; positive values favor Variant B
P8P27NREY,2,behavioral,clickCount,,3,3,0,A - B; positive values favor Variant B
P8R7D3U4Y,2,behavioral,clickCount,,3,3,0,A - B; positive values favor Variant B
P99LEMZ3N,2,behavioral,clickCount,,3,3,0,A - B; positive values favor Variant B
P9KSFLSKT,2,behavioral,clickCount,,3,3,0,A - B; positive values favor Variant B
PBWP8UE0A,2,behavioral,clickCount,,4,4,0,A - B; positive values favor Variant B
PCFQE8NID,2,behavioral,clickCount,,12,3,9,A - B; positive values favor Variant B
PE7C6H021,2,behavioral,clickCount,,3,5,-2,A - B; positive values favor Variant B
PE9W58M1S,2,behavioral,clickCount,,8,6,2,A - B; positive values favor Variant B
PFWMMXIWA,2,behavioral,clickCount,,4,3,1,A - B; positive values favor Variant B
PGH86PBFM,2,behavioral,clickCount,,4,3,1,A - B; positive values favor Variant B
PH81DPP1K,2,behavioral,clickCount,,3,3,0,A - B; positive values favor Variant B
PK0Y2I1M9,2,behavioral,clickCount,,3,5,-2,A - B; positive values favor Variant B
PK30UIESJ,2,behavioral,clickCount,,3,5,-2,A - B; positive values favor Variant B
PLEWQ562J,2,behavioral,clickCount,,4,3,1,A - B; positive values favor Variant B
PLZ9FQ9H6,2,behavioral,clickCount,,4,3,1,A - B; positive values favor Variant B
PMDGQF6V3,2,behavioral,clickCount,,3,5,-2,A - B; positive values favor Variant B
PMY9EY80T,2,behavioral,clickCount,,13,5,8,A - B; positive values favor Variant B
PO0YWX23G,2,behavioral,clickCount,,3,4,-1,A - B; positive values favor Variant B
POMEU60X3,2,behavioral,clickCount,,10,3,7,A - B; positive values favor Variant B
PQ3KZGKWP,2,behavioral,clickCount,,3,3,0,A - B; positive values favor Variant B
PR8OY8GUT,2,behavioral,clickCount,,3,7,-4,A - B; positive values favor Variant B
PRL17E7I2,2,behavioral,clickCount,,4,11,-7,A - B; positive values favor Variant B
PS8SF0PF2,2,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
PSWWIV0XB,2,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
PTA7OSL0B,2,behavioral,clickCount,,3,3,0,A - B; positive values favor Variant B
PTJGE7EXG,2,behavioral,clickCount,,4,4,0,A - B; positive values favor Variant B
PVD54NPZC,2,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
PWV2MFTIM,2,behavioral,clickCount,,8,3,5,A - B; positive values favor Variant B
PX47H0075,2,behavioral,clickCount,,9,5,4,A - B; positive values favor Variant B
PYLDRR3RU,2,behavioral,clickCount,,3,4,-1,A - B; positive values favor Variant B
PYVFGA3G2,2,behavioral,clickCount,,3,5,-2,A - B; positive values favor Variant B
P028CWG0W,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P02MVX12U,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P1AJ983YU,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P1FCXJG5G,2,behavioral,misclickCount,,2,0,2,A - B; positive values favor Variant B
P30GF9DCE,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P3GT3SJCJ,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P6OM5XQ9D,2,behavioral,misclickCount,,3,0,3,A - B; positive values favor Variant B
P7SSRCDH3,2,behavioral,misclickCount,,1,0,1,A - B; positive values favor Variant B
P8J79DAMX,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P8P27NREY,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P8R7D3U4Y,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P99LEMZ3N,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P9KSFLSKT,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PBWP8UE0A,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PCFQE8NID,2,behavioral,misclickCount,,2,0,2,A - B; positive values favor Variant B
PE7C6H021,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PE9W58M1S,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PFWMMXIWA,2,behavioral,misclickCount,,1,0,1,A - B; positive values favor Variant B
PGH86PBFM,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PH81DPP1K,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PK0Y2I1M9,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PK30UIESJ,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PLEWQ562J,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PLZ9FQ9H6,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PMDGQF6V3,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PMY9EY80T,2,behavioral,misclickCount,,2,0,2,A - B; positive values favor Variant B
PO0YWX23G,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
POMEU60X3,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PQ3KZGKWP,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PR8OY8GUT,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PRL17E7I2,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PS8SF0PF2,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PSWWIV0XB,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PTA7OSL0B,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PTJGE7EXG,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PVD54NPZC,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PWV2MFTIM,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
PX47H0075,2,behavioral,misclickCount,,1,0,1,A - B; positive values favor Variant B
PYLDRR3RU,2,behavioral,misclickCount,,0,1,-1,A - B; positive values favor Variant B
PYVFGA3G2,2,behavioral,misclickCount,,0,0,0,A - B; positive values favor Variant B
P028CWG0W,2,behavioral,pageTransitionCount,,3,5,-2,A - B; positive values favor Variant B
P02MVX12U,2,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
P1AJ983YU,2,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
P1FCXJG5G,2,behavioral,pageTransitionCount,,7,6,1,A - B; positive values favor Variant B
P30GF9DCE,2,behavioral,pageTransitionCount,,3,3,0,A - B; positive values favor Variant B
P3GT3SJCJ,2,behavioral,pageTransitionCount,,3,3,0,A - B; positive values favor Variant B
P6OM5XQ9D,2,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
P7SSRCDH3,2,behavioral,pageTransitionCount,,3,5,-2,A - B; positive values favor Variant B
P8J79DAMX,2,behavioral,pageTransitionCount,,3,3,0,A - B; positive values favor Variant B
P8P27NREY,2,behavioral,pageTransitionCount,,4,4,0,A - B; positive values favor Variant B
P8R7D3U4Y,2,behavioral,pageTransitionCount,,4,4,0,A - B; positive values favor Variant B
P99LEMZ3N,2,behavioral,pageTransitionCount,,3,3,0,A - B; positive values favor Variant B
P9KSFLSKT,2,behavioral,pageTransitionCount,,3,3,0,A - B; positive values favor Variant B
PBWP8UE0A,2,behavioral,pageTransitionCount,,4,4,0,A - B; positive values favor Variant B
PCFQE8NID,2,behavioral,pageTransitionCount,,10,3,7,A - B; positive values favor Variant B
PE7C6H021,2,behavioral,pageTransitionCount,,3,5,-2,A - B; positive values favor Variant B
PE9W58M1S,2,behavioral,pageTransitionCount,,8,5,3,A - B; positive values favor Variant B
PFWMMXIWA,2,behavioral,pageTransitionCount,,4,4,0,A - B; positive values favor Variant B
PGH86PBFM,2,behavioral,pageTransitionCount,,4,4,0,A - B; positive values favor Variant B
PH81DPP1K,2,behavioral,pageTransitionCount,,3,3,0,A - B; positive values favor Variant B
PK0Y2I1M9,2,behavioral,pageTransitionCount,,3,5,-2,A - B; positive values favor Variant B
